title,page,composer,composer_dates,contents,source_file
Crown Him with Many Crowns,3,arr. Lloyd Larson,b. 1954,Original/tune composer: George J. Elvey,Enduring Praise
He Leadeth Me with All the Way My Savior Leads Me,9,arr. Lloyd Larson,b. 1954,Original/tune composer: William B. Bradbury,Enduring Praise
Glorious Things of Thee Are Spoken,14,arr. Lloyd Larson,b. 1954,Original/tune composer: Franz Joseph Haydn,Enduring Praise
My Savior’s Love with Amazing Grace,20,arr. Lloyd Larson,b. 1954,Original/tune composer: Charles H. Gabriel; includes Amazing Grace,Enduring Praise
Trust and Obey,26,arr. Lloyd Larson,b. 1954,Original/tune composer: Daniel B. Towner,Enduring Praise
There Is a Fountain,31,arr. Lloyd Larson,b. 1954,Traditional American Melody,Enduring Praise
Wonderful Words of Life,36,arr. Lloyd Larson,b. 1954,Original/tune composer: Philip P. Bliss,Enduring Praise
"Come, All Christians, Be Committed",44,arr. Lloyd Larson,b. 1954,Traditional American Melody,Enduring Praise
